source,target
Dominica,Afghanistan
Sudan,Afghanistan
Namibia,Afghanistan
North Korea,Afghanistan
Lebanon,Afghanistan
Indonesia,Afghanistan
Thailand,Afghanistan
Qatar,Afghanistan
Iceland,Afghanistan
Algeria,Afghanistan
Andorra,Afghanistan
Wales,Afghanistan
Germany,Afghanistan
Malawi,Afghanistan
Libya,Afghanistan
Cuba,Afghanistan
Vanuatu,Afghanistan
Zambia,Afghanistan
South Korea,Afghanistan
North America,Afghanistan
Palestine,Afghanistan
Bhutan,Afghanistan
Colombia,Afghanistan
Comoros,Afghanistan
Chile,Afghanistan
North Macedonia,Afghanistan
Tropical Latin America,Afghanistan
Nepal,Afghanistan
Turkey,Afghanistan
Oceania,Afghanistan
Mexico,Afghanistan
Latin America and Caribbean,Afghanistan
Bangladesh,Afghanistan
United Kingdom,Afghanistan
Saint Lucia,Afghanistan
Caribbean,Afghanistan
France,Afghanistan
Marshall Islands,Afghanistan
Saudi Arabia,Afghanistan
Micronesia (country),Afghanistan
Seychelles,Afghanistan
Japan,Afghanistan
Grenada,Afghanistan
Norway,Afghanistan
Samoa,Afghanistan
Azerbaijan,Afghanistan
Belize,Afghanistan
Montenegro,Afghanistan
Southern Sub-Saharan Africa,Afghanistan
Scotland,Afghanistan
Australasia,Afghanistan
Solomon Islands,Afghanistan
Oman,Afghanistan
Spain,Afghanistan
Cambodia,Afghanistan
Serbia,Afghanistan
Canada,Afghanistan
Trinidad and Tobago,Afghanistan
American Samoa,Afghanistan
Middle SDI,Afghanistan
United States Virgin Islands,Afghanistan
Jamaica,Afghanistan
Albania,Afghanistan
Panama,Afghanistan
Paraguay,Afghanistan
Bahrain,Afghanistan
Switzerland,Afghanistan
Cyprus,Afghanistan
Iran,Afghanistan
Slovakia,Afghanistan
Romania,Afghanistan
Suriname,Afghanistan
Southern Latin America,Afghanistan
Kiribati,Afghanistan
Portugal,Afghanistan
Ireland,Afghanistan
Italy,Afghanistan
United Arab Emirates,Afghanistan
Haiti,Afghanistan
Denmark,Afghanistan
Dominican Republic,Afghanistan
Central Latin America,Afghanistan
Brunei,Afghanistan
Saint Vincent and the Grenadines,Afghanistan
Peru,Afghanistan
Honduras,Afghanistan
Ecuador,Afghanistan
Barbados,Afghanistan
Slovenia,Afghanistan
Iraq,Afghanistan
Syria,Afghanistan
Jordan,Afghanistan
Czechia,Afghanistan
Venezuela,Afghanistan
Philippines,Afghanistan
Kuwait,Afghanistan
Malaysia,Afghanistan
Belgium,Afghanistan
Bahamas,Afghanistan
Pakistan,Afghanistan
Myanmar,Afghanistan
United States,Afghanistan
Northern Ireland,Afghanistan
Bolivia,Afghanistan
Bermuda,Afghanistan
Croatia,Afghanistan
Poland,Afghanistan
Northern Mariana Islands,Afghanistan
Taiwan,Afghanistan
New Zealand,Afghanistan
High SDI,Afghanistan
Egypt,Afghanistan
Hungary,Afghanistan
Sweden,Afghanistan
Puerto Rico,Afghanistan
Netherlands,Afghanistan
Bosnia and Herzegovina,Afghanistan
Austria,Afghanistan
Malta,Afghanistan
Fiji,Afghanistan
Laos,Afghanistan
Andean Latin America,Afghanistan
World,Afghanistan
Brazil,Afghanistan
Greece,Afghanistan
Tunisia,Afghanistan
High-middle SDI,Afghanistan
South Africa,Afghanistan
Southeast Asia,Afghanistan
Australia,Afghanistan
Tonga,Afghanistan
Bulgaria,Afghanistan
Luxembourg,Afghanistan
Guyana,Afghanistan
Uruguay,Afghanistan
England,Afghanistan
High-income,Afghanistan
High-income Asia Pacific,Afghanistan
Central Europe,Afghanistan
Costa Rica,Afghanistan
Yemen,Afghanistan
Antigua and Barbuda,Afghanistan
Argentina,Afghanistan
Nicaragua,Afghanistan
Western Europe,Afghanistan
North Africa and Middle East,Afghanistan
Bahamas,Albania
Ecuador,Albania
World,Albania
High SDI,Albania
Vanuatu,Albania
Syria,Albania
North Macedonia,Albania
Tropical Latin America,Albania
Cambodia,Albania
Saint Lucia,Albania
Lebanon,Albania
Mexico,Albania
Honduras,Albania
Northern Ireland,Albania
Central Latin America,Albania
Jordan,Albania
Bangladesh,Albania
Luxembourg,Albania
Fiji,Albania
