name,communityId
Afghanistan,1
Albania,1
Algeria,1
American Samoa,1
Andean Latin America,1
Andorra,1
Angola,6
Antigua and Barbuda,1
Argentina,1
Armenia,6
Australasia,1
Australia,1
Austria,1
Azerbaijan,1
Bahamas,1
Bahrain,1
Bangladesh,1
Barbados,1
Belarus,6
Belgium,1
Belize,1
Benin,6
Bermuda,1
Bhutan,1
Bolivia,1
Bosnia and Herzegovina,1
Botswana,6
Brazil,1
Brunei,1
Bulgaria,1
Burkina Faso,6
Burundi,6
Cambodia,1
Cameroon,6
Canada,1
Cape Verde,6
Caribbean,1
Central African Republic,6
Central Asia,6
Central Europe,1
Central Europe Eastern Europe and Central Asia,6
Central Latin America,1
Central Sub-Saharan Africa,6
Chad,6
Chile,1
China,6
Colombia,1
Comoros,1
Congo,6
Costa Rica,1
Cote d'Ivoire,6
Croatia,1
Cuba,1
Cyprus,1
Czechia,1
Democratic Republic of Congo,6
Denmark,1
Djibouti,6
Dominica,1
Dominican Republic,1
East Asia,6
Eastern Europe,6
Eastern Sub-Saharan Africa,6
Ecuador,1
Egypt,1
El Salvador,6
England,1
Equatorial Guinea,6
Eritrea,6
Estonia,6
Eswatini,6
Ethiopia,6
Fiji,1
Finland,6
France,1
Gabon,6
Gambia,6
Georgia,6
Germany,1
Ghana,6
Greece,1
Greenland,6
Grenada,1
Guam,6
Guatemala,6
Guinea,6
Guinea-Bissau,6
Guyana,1
Haiti,1
High SDI,1
High-income,1
High-income Asia Pacific,1
High-middle SDI,1
Honduras,1
Hungary,1
Iceland,1
India,6
Indonesia,1
Iran,1
Iraq,1
Ireland,1
Israel,6
Italy,1
Jamaica,1
Japan,1
Jordan,1
Kazakhstan,6
Kenya,6
Kiribati,1
Kuwait,1
Kyrgyzstan,6
Laos,1
Latin America and Caribbean,1
Latvia,6
Lebanon,1
Lesotho,6
Liberia,6
Libya,1
Lithuania,6
Low SDI,6
Low-middle SDI,6
Luxembourg,1
Madagascar,6
Malawi,1
Malaysia,1
Maldives,6
Mali,6
Malta,1
Marshall Islands,1
Mauritania,6
Mauritius,6
Mexico,1
Micronesia (country),1
Middle SDI,1
Moldova,6
Mongolia,6
Montenegro,1
Morocco,6
Mozambique,6
Myanmar,1
Namibia,1
Nepal,1
Netherlands,1
New Zealand,1
Nicaragua,1
Niger,6
Nigeria,6
North Africa and Middle East,1
North America,1
North Korea,1
North Macedonia,1
Northern Ireland,1
Northern Mariana Islands,1
Norway,1
Oceania,1
Oman,1
Pakistan,1
Palestine,1
Panama,1
Papua New Guinea,6
Paraguay,1
Peru,1
Philippines,1
Poland,1
Portugal,1
Puerto Rico,1
Qatar,1
Romania,1
Russia,6
Rwanda,6
Saint Lucia,1
Saint Vincent and the Grenadines,1
Samoa,1
Sao Tome and Principe,6
Saudi Arabia,1
Scotland,1
Senegal,6
Serbia,1
Seychelles,1
Sierra Leone,6
Singapore,6
Slovakia,1
Slovenia,1
Solomon Islands,1
Somalia,6
South Africa,1
South Asia,6
South Korea,1
South Sudan,6
Southeast Asia,1
Southeast Asia East Asia and Oceania,6
Southern Latin America,1
Southern Sub-Saharan Africa,1
Spain,1
Sri Lanka,6
Sub-Saharan Africa,6
Sudan,1
Suriname,1
Sweden,1
Switzerland,1
Syria,1
Taiwan,1
Tajikistan,6
Tanzania,6
Thailand,1
Timor,6
Togo,6
Tonga,1
Trinidad and Tobago,1
Tropical Latin America,1
Tunisia,1
Turkey,1
Turkmenistan,6
Uganda,6
Ukraine,6
United Arab Emirates,1
United Kingdom,1
United States,1
United States Virgin Islands,1
Uruguay,1
Uzbekistan,6
Vanuatu,1
Venezuela,1
Vietnam,6
Wales,1
Western Europe,1
Western Sub-Saharan Africa,6
World,1
Yemen,1
Zambia,1
Zimbabwe,6
