"COUNTRY","YEAR","DISEASE","SHARE"
"Afghanistan","1990","Ansiedade","4.8288297049999995"
"Albania","1990","Ansiedade","3.32758663553"
"Algeria","1990","Ansiedade","4.97655257867"
"American Samoa","1990","Ansiedade","3.25595530437"
"Andean Latin America","1990","Ansiedade","4.21767658501"
"Andorra","1990","Ansiedade","5.24267301474"
"Angola","1990","Ansiedade","3.2082167384"
"Antigua and Barbuda","1990","Ansiedade","4.5835473768999995"
"Argentina","1990","Ansiedade","6.16592127034"
"Armenia","1990","Ansiedade","2.5786875602199997"
"Australasia","1990","Ansiedade","6.814155808020001"
"Australia","1990","Ansiedade","6.52529436951"
"Austria","1990","Ansiedade","5.357604224459999"
"Azerbaijan","1990","Ansiedade","2.57838924742"
"Bahamas","1990","Ansiedade","4.63998571683"
"Bahrain","1990","Ansiedade","4.67291202672"
"Bangladesh","1990","Ansiedade","4.16261370522"
"Barbados","1990","Ansiedade","4.66223276034"
"Belarus","1990","Ansiedade","2.92744171545"
"Belgium","1990","Ansiedade","5.22471295411"
"Belize","1990","Ansiedade","4.48925313301"
"Benin","1990","Ansiedade","2.89744114473"
"Bermuda","1990","Ansiedade","4.66186834504"
"Bhutan","1990","Ansiedade","3.73473031756"
"Bolivia","1990","Ansiedade","4.22365640624"
"Bosnia and Herzegovina","1990","Ansiedade","3.3628634974200002"
"Botswana","1990","Ansiedade","3.46608352988"
"Brazil","1990","Ansiedade","5.56994000045"
"Brunei","1990","Ansiedade","3.54845290206"
"Bulgaria","1990","Ansiedade","3.5641474105499995"
"Burkina Faso","1990","Ansiedade","2.89389218071"
"Burundi","1990","Ansiedade","3.6165809259"
"Cambodia","1990","Ansiedade","3.2850722466899995"
"Cameroon","1990","Ansiedade","2.88570525391"
"Canada","1990","Ansiedade","5.538490814279999"
"Cape Verde","1990","Ansiedade","2.97060329108"
"Caribbean","1990","Ansiedade","4.55219697331"
"Central African Republic","1990","Ansiedade","3.2339885791700005"
"Central Asia","1990","Ansiedade","2.5582414922099996"
"Central Europe","1990","Ansiedade","3.3858223546299997"
"Central Europe Eastern Europe and Central Asia","1990","Ansiedade","3.00303877014"
"Central Latin America","1990","Ansiedade","2.84131810971"
"Central Sub-Saharan Africa","1990","Ansiedade","3.2340002030200004"
"Chad","1990","Ansiedade","2.89848505477"
"Chile","1990","Ansiedade","6.18849652134"
"China","1990","Ansiedade","3.12862554471"
"Colombia","1990","Ansiedade","2.61782340398"
"Comoros","1990","Ansiedade","3.5764604896699996"
"Congo","1990","Ansiedade","3.25924186196"
"Costa Rica","1990","Ansiedade","2.86056872182"
"Cote d'Ivoire","1990","Ansiedade","2.85902462817"
"Croatia","1990","Ansiedade","3.4398104150599997"
"Cuba","1990","Ansiedade","4.61067987644"
"Cyprus","1990","Ansiedade","5.2666006547499995"
"Czechia","1990","Ansiedade","3.4396637931100003"
"Democratic Republic of Congo","1990","Ansiedade","3.23784777475"
"Denmark","1990","Ansiedade","5.30949181473"
"Djibouti","1990","Ansiedade","3.49528614283"
"Dominica","1990","Ansiedade","4.56413528477"
"Dominican Republic","1990","Ansiedade","4.53391930049"
