name,users,population
China,765367947,1409517397
India,461347554,1339180127
United States,244090854,324459463
Brazil,141206801,209288278
Japan,115845120,127484450
Russia,109446612,143989754
Indonesia,85242816,263991379
Mexico,82470752,129163276
Germany,69304405,82114224
Philippines,63003313,104918090
United Kingdom,62621016,66181585
Pakistan,61837331,220800300
France,52308536,64979548
Turkey,52225879,80745020
Iran,49038556,81162788
South Korea,48484084,50982212
Vietnam,47359575,95540800
Egypt,43850141,97553151
Spain,39215756,46354321
Thailand,36513941,69037513
Italy,36387619,59359900
Canada,33950632,36624199
Argentina,33561876,44271041
South Africa,31858027,56717156
Nigeria,30557175,190015955
Colombia,30548252,49065615
Bangladesh,30530435,164669751
Poland,29005924,38170712
Saudi Arabia,27048861,32938213
Malaysia,25343685,31624264
Ukraine,25260147,44222947
Morocco,22072765,35739580
Taiwan,21920626,23626456
Australia,21159515,24450561
Venezuela,20564451,31977065
Algeria,19704622,41318142
Ethiopia,19543075,104957438
Iraq,18892351,38274618
Uzbekistan,16692456,31910641
Myanmar,16374103,53370609
Netherlands,15877494,17035938
Peru,15674241,32165485
Chile,14864456,18054726
Kazakhstan,13913699,18204499
Romania,12545558,19679306
Sudan,12512639,40533330
Ghana,10922179,28833629
Ivory Coast,10650818,24294750
Uganda,10162807,42862958
Belgium,10021242,11429336
Sweden,9554907,9910701
Ecuador,9521056,16624858
Tanzania,9169603,57310019
United Arab Emirates,8913217,9400145
Kenya,8861485,49699862
Czech Republic,8358728,10618303
Switzerland,7942864,8476005
Greece,7799565,11159773
Azerbaijan,7763795,9827589
Austria,7681957,8735453
Portugal,7622142,10329506
Yemen,7548512,28250420
Hungary,7461297,9721559
Sri Lanka,7121116,20876917
Belarus,7048231,9468338
Democratic Republic of the Congo,7011507,81339988
Dominican Republic,6997472,10766998
Guatemala,6883796,16913503
Israel,6788737,8321570
Hong Kong,6585678,7364883
Jordan,6480202,9702353
Tunisia,6400330,11532127
Nepal,6271270,29304998
Syria,6257430,18269868
Serbia,6182411,8790574
Mozambique,6162217,29668834
Cuba,5638956,11484636
Cameroon,5580465,24053727
Denmark,5567278,5733551
Cambodia,5441827,16005373
Norway,5120225,5305383
Bolivia,4843916,11051600
Finland,4831170,5523231
Singapore,4821119,5708844
Zambia,4760715,17094130
Lebanon,4755187,6082357
Senegal,4698108,15850567
Bulgaria,4492326,7084571
Zimbabwe,4472992,16529904
Slovakia,4446926,5447662
New Zealand,4273353,4705818
Angola,4271053,29784193
Paraguay,4160340,6811297
Afghanistan,4068194,35530081
Kuwait,4053797,4136528
Ireland,4024552,4761657
Oman,3717818,4636262
