"COUNTRY","YEAR","DISEASE","SHARE"
"Afghanistan","1990","Esquizofrenia","0.160559542157"
"Afghanistan","1990","Transtorno Bipolar","0.697779384535"
"Afghanistan","1990","Distúrbios Alimentares","0.10185486345900001"
"Afghanistan","1990","Depressão","4.07183117706"
"Afghanistan","1990","Ansiedade","4.8288297049999995"
"Afghanistan","1991","Esquizofrenia","0.16031189863"
"Afghanistan","1991","Depressão","4.079530935399999"
"Afghanistan","1991","Transtorno Bipolar","0.697960594942"
"Afghanistan","1991","Distúrbios Alimentares","0.09931279009609999"
"Afghanistan","1991","Ansiedade","4.82974037241"
"Afghanistan","1992","Ansiedade","4.83110836569"
"Afghanistan","1992","Distúrbios Alimentares","0.0966915892928"
"Afghanistan","1992","Depressão","4.08835824297"
"Afghanistan","1992","Transtorno Bipolar","0.698106968899"
"Afghanistan","1992","Esquizofrenia","0.160134822429"
"Afghanistan","1993","Transtorno Bipolar","0.698256934369"
"Afghanistan","1993","Depressão","4.0961898971199995"
"Afghanistan","1993","Distúrbios Alimentares","0.0943356623795"
"Afghanistan","1993","Ansiedade","4.83086358539"
"Afghanistan","1993","Esquizofrenia","0.160037391188"
"Afghanistan","1994","Transtorno Bipolar","0.69846911816"
"Afghanistan","1994","Distúrbios Alimentares","0.0924393209042"
"Afghanistan","1994","Ansiedade","4.82942317312"
"Afghanistan","1994","Esquizofrenia","0.160022297338"
"Afghanistan","1994","Depressão","4.09958157816"
"Afghanistan","1995","Transtorno Bipolar","0.698694968944"
"Afghanistan","1995","Ansiedade","4.82833727334"
"Afghanistan","1995","Distúrbios Alimentares","0.090980372886"
"Afghanistan","1995","Depressão","4.10420732528"
"Afghanistan","1995","Esquizofrenia","0.160076308783"
"Afghanistan","1996","Distúrbios Alimentares","0.08970893761740001"
"Afghanistan","1996","Depressão","4.10750045554"
"Afghanistan","1996","Esquizofrenia","0.160248726329"
"Afghanistan","1996","Transtorno Bipolar","0.698914125049"
"Afghanistan","1996","Ansiedade","4.8280831202600005"
"Afghanistan","1997","Ansiedade","4.82772571638"
