source,target
Lesotho,South Korea
Zimbabwe,South Korea
Uruguay,Zimbabwe
Ukraine,Zimbabwe
Lesotho,Zimbabwe
Uruguay,Lesotho
Ukraine,Lesotho
Guam,Ukraine
Ecuador,Ukraine
Dominican Republic,Ukraine
Guyana,Ukraine
Cape Verde,Ukraine
Swaziland,Ukraine
Armenia,Ukraine
Uruguay,Ukraine
Taiwan,Uruguay
Guam,Uruguay
Ecuador,Uruguay
Dominican Republic,Uruguay
Guyana,Uruguay
Cape Verde,Uruguay
Swaziland,Uruguay
Armenia,Uruguay
Chad,Armenia
Georgia,Armenia
Taiwan,Armenia
Sierra Leone,Armenia
Guam,Armenia
Guinea,Armenia
Ecuador,Armenia
Dominican Republic,Armenia
Guyana,Armenia
Cape Verde,Armenia
Swaziland,Armenia
Liberia,Swaziland
Libya,Swaziland
Brunei,Swaziland
Georgia,Swaziland
Kazakhstan,Swaziland
Sierra Leone,Swaziland
Taiwan,Swaziland
Jamaica,Swaziland
Mexico,Swaziland
Ghana,Swaziland
Belize,Swaziland
Guam,Swaziland
Guinea,Swaziland
Chad,Swaziland
Paraguay,Swaziland
Ecuador,Swaziland
Dominican Republic,Swaziland
Guyana,Swaziland
Cape Verde,Swaziland
Liberia,Cape Verde
Sierra Leone,Cape Verde
Chad,Cape Verde
High-income Asia Pacific,Cape Verde
Ghana,Cape Verde
Taiwan,Cape Verde
Libya,Cape Verde
Mexico,Cape Verde
Guinea,Cape Verde
Paraguay,Cape Verde
Ecuador,Cape Verde
Guam,Cape Verde
Belize,Cape Verde
Georgia,Cape Verde
Brunei,Cape Verde
Jamaica,Cape Verde
Kazakhstan,Cape Verde
Dominican Republic,Cape Verde
Guyana,Cape Verde
Paraguay,Guyana
Libya,Guyana
Liberia,Guyana
Belize,Guyana
High-income Asia Pacific,Guyana
Ghana,Guyana
Costa Rica,Guyana
Georgia,Guyana
Mozambique,Guyana
Taiwan,Guyana
Mexico,Guyana
Jamaica,Guyana
Kazakhstan,Guyana
Guinea,Guyana
Ecuador,Guyana
Brunei,Guyana
Guam,Guyana
Togo,Guyana
Chad,Guyana
Sierra Leone,Guyana
Dominican Republic,Guyana
Togo,Dominican Republic
Ghana,Dominican Republic
Jamaica,Dominican Republic
Guinea,Dominican Republic
Mozambique,Dominican Republic
Gambia,Dominican Republic
Libya,Dominican Republic
Chad,Dominican Republic
Sierra Leone,Dominican Republic
Guam,Dominican Republic
Mexico,Dominican Republic
Kazakhstan,Dominican Republic
Venezuela,Dominican Republic
Ecuador,Dominican Republic
Belize,Dominican Republic
Costa Rica,Dominican Republic
Liberia,Dominican Republic
High-income Asia Pacific,Dominican Republic
Georgia,Dominican Republic
Paraguay,Dominican Republic
Brunei,Dominican Republic
Taiwan,Dominican Republic
Jamaica,Ecuador
Brunei,Ecuador
Liberia,Ecuador
Albania,Ecuador
Chad,Ecuador
Mexico,Ecuador
Guinea,Ecuador
Cameroon,Ecuador
Libya,Ecuador
Guam,Ecuador
High-income Asia Pacific,Ecuador
Kazakhstan,Ecuador
Georgia,Ecuador
Taiwan,Ecuador
Ghana,Ecuador
Togo,Ecuador
Paraguay,Ecuador
Sierra Leone,Ecuador
Belize,Ecuador
Mozambique,Ecuador
Costa Rica,Ecuador
Venezuela,Ecuador
Gambia,Ecuador
Albania,Guam
Brunei,Guam
Ghana,Guam
Taiwan,Guam
Paraguay,Guam
Chad,Guam
Belize,Guam
Togo,Guam
Georgia,Guam
Guinea,Guam
Jamaica,Guam
Sierra Leone,Guam
Mozambique,Guam
Costa Rica,Guam
High-income Asia Pacific,Guam
Libya,Guam
Gambia,Guam
Kazakhstan,Guam
Venezuela,Guam
Azerbaijan,Guam
Liberia,Guam
Mexico,Guam
Cameroon,Guam
High-income Asia Pacific,Taiwan
Kazakhstan,Taiwan
Azerbaijan,Taiwan
Guinea,Taiwan
Belize,Taiwan
Venezuela,Taiwan
Central Latin America,Taiwan
Liberia,Taiwan
Togo,Taiwan
Costa Rica,Taiwan
Jamaica,Taiwan
Georgia,Taiwan
Albania,Taiwan
Paraguay,Taiwan
Gambia,Taiwan
Mexico,Taiwan
Sierra Leone,Taiwan
Cameroon,Taiwan
Libya,Taiwan
Ghana,Taiwan
Chad,Taiwan
Brunei,Taiwan
Mozambique,Taiwan
Sao Tome and Principe,Taiwan
Benin,Guinea
Colombia,Guinea
Argentina,Guinea
Venezuela,Guinea
Egypt,Guinea
Mozambique,Guinea
Sierra Leone,Guinea
Gambia,Guinea
Suriname,Guinea
Albania,Guinea
Sao Tome and Principe,Guinea
United States,Guinea
Costa Rica,Guinea
Pakistan,Guinea
Georgia,Guinea
Togo,Guinea
Cameroon,Guinea
Paraguay,Guinea
Liberia,Guinea
Saint Vincent and the Grenadines,Guinea
High-income Asia Pacific,Guinea
Libya,Guinea
Saudi Arabia,Guinea
Kazakhstan,Guinea
Mexico,Guinea
United Arab Emirates,Guinea
Poland,Guinea
Azerbaijan,Guinea
Belize,Guinea
Brunei,Guinea
Chad,Guinea
Central Latin America,Guinea
Ghana,Guinea
North America,Guinea
Jamaica,Guinea
Ghana,Georgia
